class_name;class_idx;prompt
parking_sign;3;'a photo of a large <name> in a desert landscape'
parking_sign;4;'a photo of a <name> next to blooming flowers on a sunny day'
parking_sign;5;'a photo of a <name> by a busy street in the morning'
parking_sign;6;'a photo of a <name> against the backdrop of skyscrapers'
parking_sign;7;'a photo of a bright <name> at night'
parking_sign;8;'a photo of a <name> on a stormy day'
parking_sign;9;'a photo of a <name>'
parking_sign;10;'a photo of a <name> during sunset'
pedestrian_zone_sign;1;'a photo of a large <name> on a sunny day'
pedestrian_zone_sign;2;'a photo of a <name> with graffiti in the background during daytime'
pedestrian_zone_sign;3;'a photo of a new <name> in snow'
pedestrian_zone_sign;4;'a photo of a faded <name> in a park at dusk'
pedestrian_zone_sign;5;'a photo of a bright <name> in the rain'
pedestrian_zone_sign;6;'a photo of a weathered <name> at sunset'
pedestrian_zone_sign;7;'a photo of an old <name> by a frozen lake'
pedestrian_zone_sign;8;'a photo of a <name>'
pedestrian_zone_sign;9;'a photo of a rusty <name> near the beach'
pedestrian_zone_sign;10;'a photo of a vandalized <name> by a busy street'
priority_road_sign;1;'a photo of a <name> in snow on the mountainside at sunrise'
priority_road_sign;2;'a photo of a shiny <name> at night'
priority_road_sign;3;'a photo of a vibrant <name> on a bridge in the summer'
priority_road_sign;4;'a photo of a <name> with graffiti on a country road at noon'
priority_road_sign;5;'a photo of a weathered <name> in a desert'
priority_road_sign;6;'a photo of a <name> beside the sea at sunset'
priority_road_sign;7;'a photo of a <name> under blue skies near the forest'
priority_road_sign;8;'a photo of a large <name> on a busy street in the evening'
priority_road_sign;9;'a photo of a new <name> by the lake'
priority_road_sign;10;'a photo of a <name> in a blizzard in the city at twilight'
slippery_road_sign;1;'A photo of a <name> surrounded by autumn leaves'
slippery_road_sign;2;'A photo of a <name> at night'
slippery_road_sign;3;'A photo of a bright <name> in a forest at noon'
slippery_road_sign;4;'A photo of a <name> on a windy coastal road'
slippery_road_sign;5;'A photo of a faded <name> by the seaside at dusk'
slippery_road_sign;6;'A photo of a reflective <name> under the clear blue sky'
slippery_road_sign;7;'A photo of a glossy <name> on a busy street at twilight'
slippery_road_sign;8;'A photo of a damaged <name> in the desert at sunset'
slippery_road_sign;9;'A photo of a <name>'
slippery_road_sign;10;'A photo of a <name> covered in snow'
speed_limit_30_sign;1;'a photo of a faded <name> near the beach at sunset'
speed_limit_30_sign;2;'a photo of a <name> in snow'
speed_limit_30_sign;3;'a photo of a <name> on a desert road'
speed_limit_30_sign;4;'a photo of a <name> on a mountain road in fog'
speed_limit_30_sign;5;'a photo of a <name> under blue skies'
speed_limit_30_sign;6;'a photo of a damaged <name> after a storm'
speed_limit_30_sign;7;'a photo of a <name>'
speed_limit_30_sign;8;'a photo of a <name> with graffiti on a country road'
speed_limit_30_sign;9;'a photo of a <name> on a busy street in the rain at night'
speed_limit_30_sign;10;'a photo of a <name> by a construction site at dusk'
speed_limit_80_sign;1;'a photo of a <name> on a desert road'
speed_limit_80_sign;2;'a photo of a rusty <name> on a foggy road at dawn'
speed_limit_80_sign;3;'a photo of a bright <name> in a field'
speed_limit_80_sign;4;'a photo of a new <name> by the ocean'
speed_limit_80_sign;5;'a photo of a faded <name> under the sunny sky'
speed_limit_80_sign;6;'a photo of a <name> at night'
speed_limit_80_sign;7;'a photo of a reflective <name> in snow at dusk'
speed_limit_80_sign;8;'a photo of a <name>'
speed_limit_80_sign;9;'a photo of an aged <name>'
speed_limit_80_sign;10;'a photo of a <name> in rain'
speed_limit_100_sign;1;'a photo of a weathered <name> at night'
speed_limit_100_sign;2;'a photo of a <name> with graffiti on a highway'
speed_limit_100_sign;3;'a photo of a rusty <name> on a country road at sunset'
speed_limit_100_sign;4;'a photo of a faded <name> during a thunderstorm'
speed_limit_100_sign;5;'a photo of a reflective <name> on a coastal road during a sunny day'
speed_limit_100_sign;6;'a photo of a <name> surrounded by autumn leaves'
speed_limit_100_sign;7;'a photo of a <name>'
speed_limit_100_sign;8;'a photo of a luminous <name> in the fog'
speed_limit_100_sign;9;'a photo of a <name> in the snow'
speed_limit_100_sign;10;'a photo of a <name> on a mountain pass in winter'
speed_limit_120_sign;1;'a photo of a reflective <name> in heavy rain'
speed_limit_120_sign;2;'a photo of a <name> on a bustling city street'
speed_limit_120_sign;3;'a photo of a large <name> during sunset'
speed_limit_120_sign;4;'a photo of a battered <name> in a storm'
speed_limit_120_sign;5;'a photo of a <name> shadowed by trees at dusk'
speed_limit_120_sign;6;'a photo of a <name> in snow'
speed_limit_120_sign;7;'a photo of a <name>'
speed_limit_120_sign;8;'a photo of a vibrant <name> next to a blooming field in spring'
speed_limit_120_sign;9;'a photo of a rusted <name> on a quiet road'
speed_limit_120_sign;10;'a photo of a <name> surrounded by snowflakes at night'
traffic_banned_sign;1;'a photo of a <name> during a thunderstorm at twilight'
traffic_banned_sign;2;'a photo of a <name>'
traffic_banned_sign;3;'a photo of a <name> at night'
traffic_banned_sign;4;'a photo of a rusted <name>'
traffic_banned_sign;5;'a photo of a vintage <name> on a mountain road in early morning fog'
traffic_banned_sign;6;'a photo of a new <name> in snow'
traffic_banned_sign;7;'a photo of a broken <name> in a deserted alley'
traffic_banned_sign;8;'a photo of a <name> overlooking a frozen lake at sunset'
traffic_banned_sign;9;'a photo of a faded <name> under the scorching sun'
traffic_banned_sign;10;'a photo of a shiny <name> in a park'
work_zone_sign;1;'a photo of a bright <name> in the snow'
work_zone_sign;2;'a photo of a <name> with graffiti on it under the hot sun'
work_zone_sign;3;'a photo of a <name>'
work_zone_sign;4;'a photo of a reflective <name> at night'
work_zone_sign;5;'a photo of a large <name> next to construction equipment in the early morning'
work_zone_sign;6;'a photo of a <name> surrounded by autumn leaves'
work_zone_sign;7;'a photo of a neon <name> in the fog'
work_zone_sign;8;'a photo of a damaged <name> in a field during a rainstorm'
work_zone_sign;9;'a photo of a <name> near a city bridge at sunset'
work_zone_sign;10;'a photo of a <name> against a backdrop of snowy mountains in the afternoon'
